Taxon,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,Other names,Notes,Trophic strategy,Cell Cover,Shape,Spicule,Symmetry,Polarity,Colony,Motility,Chloroplast,Ingestion,Behavior,Mutualistic Host,Symbiotic,Symbiont location,Host Specialization,Symbiont Specialization,Prey Specialization,Mucilage,Chemical Signal,Nutrient Affinity,Oxygen Tolerance,Salinity,Temperature,Depth,Toxygenity,Benthic Phase,Cyst Spore,Sexual reproduction or division,Ploidy,Genome Size,Presence in other subeuphotic regions?,Presence in extreme environment?,Lab-based studies,Field-based studies,Sequencing,Gene expression,Genes of note,Notes on phylogenetic placement,Resources
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae_Group_D,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_D,NA,NA,,,,Siliceous,Elongated,1,Radial,Heteropolar,None,Attatched,0,Phagotrophic,Current feeder,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae_Group_D;Stephanoecidae_Group_D_X;Stephanoecidae_Group_D_X_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_D,Stephanoecidae_Group_D_X,Stephanoecidae_Group_D_X_sp.,,,,Siliceous,Elongated,1,Radial,Heteropolar,None,Attatched,0,Phagotrophic,Current feeder,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae_Group_E;Stephanoecidae_Group_E_X;Stephanoecidae_Group_E_X_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_E,Stephanoecidae_Group_E_X,Stephanoecidae_Group_E_X_sp.,,,,Siliceous,Elongated,1,Radial,Heteropolar,None,Attatched,0,Phagotrophic,Current feeder,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae_Group_H,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_H,NA,NA,,,,Siliceous,Elongated,1,Radial,Heteropolar,None,Attatched,0,Phagotrophic,Current feeder,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae_Group_H;Stephanoecidae_Group_H_X;Stephanoecidae_Group_H_X_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_H,Stephanoecidae_Group_H_X,Stephanoecidae_Group_H_X_sp.,,,,Siliceous,Elongated,1,Radial,Heteropolar,None,Attatched,0,Phagotrophic,Current feeder,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae_Group_I,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_I,NA,NA,,,,Siliceous,Elongated,1,Radial,Heteropolar,None,Attatched,0,Phagotrophic,Current feeder,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae_Group_I;Stephanoecidae_Group_I_X;Stephanoecidae_Group_I_X_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_I,Stephanoecidae_Group_I_X,Stephanoecidae_Group_I_X_sp.,,,,Siliceous,Elongated,1,Radial,Heteropolar,None,Attatched,0,Phagotrophic,Current feeder,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Choanoflagellatea_X;Choanoflagellatea_X_Group_L;Choanoflagellatea_X_Group_L_X;Choanoflagellatea_X_Group_L_X_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellatea_X_Group_L,Choanoflagellatea_X_Group_L_X,Choanoflagellatea_X_Group_L_X_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Choanoflagellatea_X;Choanoflagellatea_X_Group_P;Choanoflagellatea_X_Group_P_X;Choanoflagellatea_X_Group_P_X_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellatea_X_Group_P,Choanoflagellatea_X_Group_P_X,Choanoflagellatea_X_Group_P_X_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Choanoflagellatea_X;Choanoflagellatea_XX;Salpingoeca_XX;Salpingoeca_XX_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellatea_XX,Salpingoeca_XX,Salpingoeca_XX_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Monosigidae_Group_A,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Monosigidae_Group_A,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Monosigidae_Group_A;Codosiga;Codosiga_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Monosigidae_Group_A,Codosiga,Codosiga_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Monosigidae_Group_A;Monosiga;Monosiga_brevicollis;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Monosigidae_Group_A,Monosiga,Monosiga_brevicollis,"Orig name: Monosiga brevicollis Ruinen, 1938",,,Organic,Elongated,0,Radial,Heteropolar,None,Attached,0,Phagotrophic,Current Feeder,,,,,,Bacteria,,,,,,,,,,1,,,41.6 million bp,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Monosigidae_Group_A;Monosigidae_Group_A_X;Monosigidae_Group_A_X_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Monosigidae_Group_A,Monosigidae_Group_A_X,Monosigidae_Group_A_X_sp.,,,,Organic,Elongated,,Radial,Heteropolar,,,0,Phagotrophic,Current Feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Monosigidae_Group_A;Salpingoeca_A;Salpingoeca_A_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Monosigidae_Group_A,Salpingoeca_A,Salpingoeca_A_sp.,,,,Organic,Elongated,,Radial,Heteropolar,,,0,Phagotrophic,Current Feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Monosigidae_Group_B,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Monosigidae_Group_B,NA,NA,,,,Organic,Elongated,,Radial,Heteropolar,,,0,Phagotrophic,Current Feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Monosigidae_Group_B;Monosigidae_Group_B_X;Monosigidae_Group_B_X_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Monosigidae_Group_B,Monosigidae_Group_B_X,Monosigidae_Group_B_X_sp.,,,,Organic,Elongated,,Radial,Heteropolar,,,0,Phagotrophic,Current Feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Monosigidae_Group_M;Salpingoeca_M;Salpingoeca_tuba;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Monosigidae_Group_M,Salpingoeca_M,Salpingoeca_tuba,Salpingoeca petiolata,,,Organic,Elongated,,Radial,Heteropolar,,,0,Phagotrophic,Current Feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Monosigidae_Group_O;Monosigidae_Group_O_X;Monosigidae_Group_O_X_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Monosigidae_Group_O,Monosigidae_Group_O_X,Monosigidae_Group_O_X_sp.,,,,Organic,Elongated,,Radial,Heteropolar,,,0,Phagotrophic,Current Feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Salpingoecidae_Group_C1;Salpingoecidae_Group_C1_X;Salpingoecidae_Group_C1_X_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Salpingoecidae_Group_C1,Salpingoecidae_Group_C1_X,Salpingoecidae_Group_C1_X_sp.,,,,Organic,Elongated,,Radial,Heteropolar,,,0,Phagotrophic,Current Feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Salpingoecidae_Group_C2,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Salpingoecidae_Group_C2,NA,NA,,,,Organic,Elongated,,Radial,Heteropolar,,,0,Phagotrophic,Current Feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Salpingoecidae_Group_C2;Salpingoecidae_Group_C2_X;Salpingoecidae_Group_C2_X_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Salpingoecidae_Group_C2,Salpingoecidae_Group_C2_X,Salpingoecidae_Group_C2_X_sp.,,,,Organic,Elongated,,Radial,Heteropolar,,,0,Phagotrophic,Current Feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellida_X;Choanoflagellida_XX,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellida_X,Choanoflagellida_XX,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellida_X;Choanoflagellida_XX;Choanoflagellida_XX_Clade-2;Choanoflagellida_XX_Clade-2_X;Choanoflagellida_XX_Clade-2_X_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellida_X,Choanoflagellida_XX,Choanoflagellida_XX_Clade-2,Choanoflagellida_XX_Clade-2_X,Choanoflagellida_XX_Clade-2_X_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellida_X;Choanoflagellida_XX;Choanoflagellida_XXX;Choanoflagellida_XXXX;Choanoflagellida_XXXX_sp.;,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellida_X,Choanoflagellida_XX,Choanoflagellida_XXX,Choanoflagellida_XXXX,Choanoflagellida_XXXX_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi,Eukaryota,Opisthokonta,Fungi,NA,NA,NA,NA,NA,,Fungi not in PIDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota,Eukaryota,Opisthokonta,Fungi,Ascomycota,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Dothideomycetes,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Dothideomycetes;Verruconis;Verruconis_gallopava;,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Verruconis,Verruconis_gallopava,Ochroconis gallopava,Thermophilic. Neurotropic (human brain infections) and lungs,,,Cylindrical,,,,Filamentous,,,,,,,,,,,,,,,,42C,,,,,,,,,"Thermal soils, hot springs, warm-blooded animals. Samerpitak K, et al. 2014. Occurance of Ochroconis and Verruconis Species in Clinical Specimans from the United States.",,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,NA,NA,,,,Organic,,,,,Filamentous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes;Aspergillus,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Aspergillus,NA,,,,Organic,Round,0,Spherical,Isopolar,Filamentous,Attached,0,Osmotrophic,Passive_Ambush_Feeder,,MutualistNonPhotosynthetic,Endo,,seaweeds__plants,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiomycetes_X;Eurotiomycetes_X_sp.;,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetes_X,Eurotiomycetes_X_sp.,,,,Organic,,0,Spherical,Isopolar,Filamentous,Attached,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Pezizomycetes;Pezizomycetes_X;Pezizomycetes_X_sp.;,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycetes,Pezizomycetes_X,Pezizomycetes_X_sp.,,,,Organic,,0,,Isopolar,Filamentous,Attached,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Pezizomycotina_X,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycotina_X,NA,NA,,,,Organic,,0,,Isopolar,Filamentous,Attached,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Pezizomycotina_X;Pezizomycotina_XX;Pezizomycotina_XX_sp.;,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycotina_X,Pezizomycotina_XX,Pezizomycotina_XX_sp.,,,,Organic,,0,,Isopolar,Filamentous,Attached,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,NA,NA,,,,Organic,,0,,Isopolar,Filamentous,Attached,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Ascotricha,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Ascotricha,NA,,,,Organic,,0,,Isopolar,Filamentous,Attached,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Sordariomycetes_X;Sordariomycetes_X_sp.;,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetes_X,Sordariomycetes_X_sp.,,,,Organic,,0,,Isopolar,Filamentous,Attached,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;Saccharomycetales,Eukaryota,Opisthokonta,Fungi,Ascomycota,Saccharomycotina,Saccharomycetales,NA,NA,,,,Organic,,0,,Isopolar,Filamentous,Attached,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;Saccharomycetales;Candida,Eukaryota,Opisthokonta,Fungi,Ascomycota,Saccharomycotina,Saccharomycetales,Candida,NA,,,,Organic,Round,0,Spherical,Isopolar,Filamentous,Attached,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;Saccharomycetales;Meyerozyma;Meyerozyma_guilliermondii;,Eukaryota,Opisthokonta,Fungi,Ascomycota,Saccharomycotina,Saccharomycetales,Meyerozyma,Meyerozyma_guilliermondii,,,,,,,,,,Attached,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;Saccharomycetales;Saccharomyces,Eukaryota,Opisthokonta,Fungi,Ascomycota,Saccharomycotina,Saccharomycetales,Saccharomyces,NA,,,,Organic,Elonagted,0,Bilateral,Isopolar,Filamentous,Attached,0,Osmotrophic,Passive Ambush Feeder,,,,,"Wine, bread, and beer",,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;Saccharomycetales;Saccharomycetales_X;Saccharomycetales_X_sp.;,Eukaryota,Opisthokonta,Fungi,Ascomycota,Saccharomycotina,Saccharomycetales,Saccharomycetales_X,Saccharomycetales_X_sp.,,,,Organic,,0,Bilateral,Isopolar,Filamentous,Attached,0,Osmotrophic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Taphrinomycotina;Schizosaccharomycetes;Schizosaccharomyces;Schizosaccharomyces_japonicus;,Eukaryota,Opisthokonta,Fungi,Ascomycota,Taphrinomycotina,Schizosaccharomycetes,Schizosaccharomyces,Schizosaccharomyces_japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Taphrinomycotina;Taphrinomycetes,Eukaryota,Opisthokonta,Fungi,Ascomycota,Taphrinomycotina,Taphrinomycetes,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Taphrinomycotina;Taphrinomycetes;Taphrina,Eukaryota,Opisthokonta,Fungi,Ascomycota,Taphrinomycotina,Taphrinomycetes,Taphrina,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Ascomycota;Taphrinomycotina;Taphrinomycotina_X;Saitoella;Saitoella_complicata;,Eukaryota,Opisthokonta,Fungi,Ascomycota,Taphrinomycotina,Taphrinomycotina_X,Saitoella,Saitoella_complicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,NA,NA,,,,Organic,,,,,Filamentous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes_X;Agaricomycetes_X_sp.;,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes_X,Agaricomycetes_X_sp.,,,,Organic,,,,,Filamentous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Auricularia;Auricularia_auricula-judae;,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Auricularia,Auricularia_auricula-judae,,,,Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Hyphodontia,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Hyphodontia,NA,,,,Organic,Elongated,0,Bilateral,Isopolar,Filamentous,Attached,0,Saprotrophic,Passive Ambush Feeder,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Pleurotus,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Pleurotus,NA,,,,Organic,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Trichaptum,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Trichaptum,NA,,,,Organic,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Tremellomycetes,NA,NA,,,,Organic,,,,,Filamentous,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellomycetes_X;Tremellomycetes_X_sp.;,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Tremellomycetes,Tremellomycetes_X,Tremellomycetes_X_sp.,,,,Organic,,,,,Filamentous,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes;Trichosporon,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Tremellomycetes,Trichosporon,NA,,,,Organic,Elongated,0,Bilateral,Isopolar,Filamentous,Attached,0,Saprotrophic,Passive Ambush Feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Basidiomycota_X;Basidiomycota_XX;Nephridiophaga;Nephridiophaga_blattellae;,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Basidiomycota_X,Basidiomycota_XX,Nephridiophaga,Nephridiophaga_blattellae,,,,Organic,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,NA,NA,NA,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina;Agaricostilbomycetes,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Agaricostilbomycetes,NA,NA,,,,Organic,,,,,Filamentous,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina;Cystobasidiomycetes,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,NA,NA,,,,Organic,Elonagted,0,Bilateral,Isopolar,Filamentous,Attached,0,Saprotrophic,Passive Ambush Feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina;Cystobasidiomycetes;Cystobasidiomycetes_X;Cystobasidiomycetes_X_sp.;,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Cystobasidiomycetes_X,Cystobasidiomycetes_X_sp.,,,,Organic,Elonagted,0,Bilateral,Isopolar,Filamentous,Attached,0,Saprotrophic,Passive Ambush Feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina;Cystobasidiomycetes;Rhodotorula,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Rhodotorula,NA,,Marine Yeast,,Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nagahama, T., Hamamoto, M., Nakase, T. et al. Distribution and identification of red yeasts in deep-sea environments around the northwest Pacific Ocean. Antonie Van Leeuwenhoek 80, 101–110 (2001). https://doi.org/10.1023/A:1012270503751"
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina;Cystobasidiomycetes;Rhodotorula;Rhodotorula_glutinis;,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Rhodotorula,Rhodotorula_glutinis,,,,Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina;Cystobasidiomycetes;Rhodotorula;Rhodotorula_mucilaginosa;,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Rhodotorula,Rhodotorula_mucilaginosa,,Yeast,,Organic,,,,,,,,Saprotrophic,,,,,,,,,,,,,,Deep-sea sediments from Mid Atlantic Ridge,,,,,,,,,,,,,"Buedenbender, Larissa, Abhishek Kumar, Martina Blümel, Frank Kempken, and Deniz Tasdemir. 2021. ""Genomics- and Metabolomics-Based Investigation of the Deep-Sea Sediment-Derived Yeast, Rhodotorula mucilaginosa 50-3-19/20B"" Marine Drugs 19, no. 1: 14. https://doi.org/10.3390/md19010014",,
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina;Cystobasidiomycetes;Sporobolomyces;Sporobolomyces_roseus;,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Sporobolomyces,Sporobolomyces_roseus,,,,Organic,,,,,,,,,,,,,Soft scaled insects,,,,,,,,Psychrotolerant,50 m and 100 m,,,,,,,,,,,,,,,"Norma Y. Hernandez-Saavedra, Daniel Hernandez-Saavedra, Jose L. Ochoa. 1992. Distribution of Sporobolomyces (Kluyver et van Niel) Genus in the Western Coast of Baja California Sur, Mexico, Systematic and Applied Microbiology, Volume 15, Issue 2, https://doi.org/10.1016/S0723-2020(11)80106-2."
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Microbotryomycetes_X;Microbotryomycetes_X_sp.;,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Microbotryomycetes,Microbotryomycetes_X,Microbotryomycetes_X_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
